Neighborhood,Department,"Avg Salary"
Boston,"Boston Fire Department",125627.020000
Boston,"BPS Condon Elementary",125559.620000
Boston,"Boston Fire Department",125521.560000
Boston,"BPS Athletics",125455.980000
Boston,"Boston Fire Department",125380.280000
Boston,"Boston Fire Department",125370.920000
Boston,"Boston Fire Department",125310.300000
Boston,"Boston Fire Department",125239.220000
Boston,"Boston Fire Department",125234.660000
Boston,"Boston Fire Department",125159.340000
Boston,"BPS Condon Elementary",125109.560000
Boston,"Boston Police Department",125070.420000
Boston,"Boston Fire Department",124980.260000
Boston,"Property Management",124970.540000
Boston,"Boston Retirement System",124965.050000
Boston,"Boston Police Department",124965.040000
Boston,"Dpt of Innovation & Technology",124965.030000
Boston,"Dpt of Innovation & Technology",124965.020000
Boston,"Boston Fire Department",124947.700000
Boston,"Boston Fire Department",124929.220000
Boston,"Young Achievers K-8",124850.910000
Boston,"BPS Business Service",124824.420000
Boston,"Boston Fire Department",124787.280000
Boston,"Boston Fire Department",124777.520000
Boston,"Finance Commission",124771.140000
Boston,"BPS Madison Park High",124698.760000
Boston,"Boston Fire Department",124651.690000
Boston,"Boston Police Department",124640.680000
Boston,"Boston Police Department",124609.160000
Boston,"Boston Fire Department",124573.160000
Boston,"BPS Special Education",124560.580000
Boston,"Boston Police Department",124559.430000
Boston,"Boston Fire Department",124555.600000
Boston,"Boston Fire Department",124546.240000
Boston,"Boston Fire Department",124444.330000
Boston,"Newcomers Academy",124206.720000
Boston,"BPS Charlestown High",124096.540000
Boston,"Boston Police Department",124056.640000
Boston,"Teaching & Learning",124048.080000
Boston,"Chief Financial Officer",123965.240000
Boston,"Boston Police Department",123953.960000
Boston,"BPS Timilty Middle",123876.990000
Boston,"Boston Fire Department",123833.000000
Boston,"BPS Burke High",123798.040000
Boston,"Boston Police Department",123792.960000
Boston,"Boston Collaborative High Sch",123759.690000
Boston,"Kennedy, JF Elementary",123759.690000
Boston,"Kennedy, PJ Elementary",123759.690000
Boston,"BPS East Boston High",123685.740000
Boston,"Boston Fire Department",123621.250000
Boston,"BPS Lee Elementary",123589.860000
Boston,"BPS Facility Mgmt/A & R",123536.740000
Boston,"BPS Madison Park High",123423.920000
Boston,"Boston Police Department",123367.140000
Boston,"BPS Boston Latin",123348.940000
Boston,"BPS East Boston High",123242.000000
Boston,"Boston Fire Department",123195.370000
Boston,"Lyndon K-8",123086.500000
Boston,"BPS McKinley Middle",123037.140000
Boston,"Boston Police Department",122795.270000
Boston,"Fam & Student Engagemt",122660.900000
Boston,"BPS Quincy Elementary",122559.740000
Boston,"Boston Police Department",122502.670000
Boston,"Boston Fire Department",122334.570000
Boston,"Boston Police Department",122211.310000
Boston,"BPS East Boston High",122196.920000
Boston,"Boston Police Department",122164.490000
Boston,"Boston Fire Department",122157.760000
Boston,"BPS Horace Mann",122109.680000
Boston,"Boston Police Department",121824.300000
Boston,"Boston Police Department",121710.440000
Boston,"BPS High School Renewal",121683.690000
Boston,"BPS Murphy Elementary",121421.310000
Boston,"Boston Police Department",121285.000000
Boston,"BPS English High",121267.950000
Boston,"BPS East Boston High",121216.940000
Boston,"King K-8",121171.740000
Boston,"BPS O'Bryant School",121122.040000
Boston,"Boston Police Department",121042.430000
Boston,"BPS Orchard Gardens K-8 Pilot",121041.960000
Boston,"WREC: Urban Science Academy",121041.960000
Boston,"BPS East Boston High",120942.140000
Boston,"Boston Police Department",120889.790000
Boston,"Boston Fire Department",120868.710000
Boston,"BPS Latin Academy",120845.920000
Boston,"Boston Fire Department",120831.990000
Boston,"BPS Ohrenberger Elementary",120771.760000
Boston,"BPS McCormack Middle",120687.960000
Boston,"Boston Fire Department",120620.520000
Boston,"Student Support Svc",120606.310000
Boston,"BPS McKinley Middle",120500.120000
Boston,"BPS Boston Latin",120492.060000
Boston,"BPS Special Education",120492.060000
Boston,"Boston Police Department",120412.360000
Boston,"Treasury-Treasury Division",120412.340000
Boston,"Dpt of Innovation & Technology",120412.300000
Boston,"BPS O'Bryant School",120253.900000
Boston,"Boston Fire Department",120177.770000
Boston,Accountability,120132.740000
Boston,"Boston Fire Department",120047.140000
Boston,"BPS Irving Middle",119999.880000
Boston,"Info & Instr Technology",119945.280000
Boston,"Curley K-8",119913.720000
Boston,"Boston Fire Department",119595.300000
Boston,"Boston Fire Department",119539.170000
Boston,"BPS Human Resource Team",119424.760000
Boston,"Boston Police Department",119406.660000
Boston,"Strategy Department",119387.670000
Boston,"BPS Boston Latin",119370.940000
Boston,"Teaching & Learning",119356.230000
Boston,"BPS Facility Mgmt/A & R",119321.170000
Boston,"Boston Fire Department",119320.430000
Boston,"BPS Business Service",119171.860000
Boston,"Boston Police Department",119030.600000
Boston,"BPS Latin Academy",118920.880000
Boston,"Boston Police Department",118846.240000
Boston,"Boston Police Department",118391.910000
Boston,"Kennedy, EM Health Academy",118370.980000
Boston,"Boston Fire Department",118175.880000
Boston,"Boston Fire Department",118101.830000
Boston,"BPS Special Education",118020.590000
Boston,"BPS McKinley Middle",117911.040000
Boston,"Boston Fire Department",117874.110000
Boston,"BPS O'Bryant School",117846.040000
Boston,"English Language Learn",117846.040000
Boston,"BPS McKinley Middle",117682.680000
Boston,"BPS East Boston High",117679.200000
Boston,"BPS Madison Park High",117549.760000
Boston,"Info & Instr Technology",117420.160000
Boston,"Boston Police Department",117408.980000
Boston,"Boston Police Department",117225.540000
Boston,"Boston Fire Department",117180.130000
Boston,"Boston Fire Department",116832.580000
Boston,"BPS Edwards Middle",116789.710000
Boston,"Boston Fire Department",116743.620000
Boston,"Boston Fire Department",116678.050000
Boston,"Boston Fire Department",116280.550000
Boston,"Boston Fire Department",116189.790000
Boston,"BPS Quincy Elementary",116142.420000
Boston,"Food & Nutrition Svc",116133.940000
Boston,"Boston Police Department",116108.980000
Boston,"Boston Fire Department",115889.750000
Boston,"Public Works Department",115811.480000
Boston,"BPS Athletics",115808.160000
Boston,"Boston Fire Department",115617.850000
Boston,"BPS Boston Arts Academy",115562.990000
Boston,"West Roxbury Academy",115551.620000
Boston,"Boston Police Department",115518.640000
Boston,"Neighborhood Development",115503.310000
Boston,"Jackson/Mann K-8",115402.720000
Boston,"BPS Dever Elementary",115329.890000
Boston,"Boston Fire Department",115324.310000
Boston,"Boston Fire Department",115289.640000
Boston,"Research Assess & Eval",115276.430000
Boston,"Early Learning Services",115232.780000
Boston,"Boston Police Department",115189.990000
Boston,"BPS Madison Park High",114987.910000
Boston,"BPS Mckay Elementary",114873.480000
Boston,"Boston Police Department",114777.840000
Boston,"Gardner Pilot  Academy",114620.100000
Boston,"BPS Health and Wellness",114583.080000
Boston,"BPS Edwards Middle",114435.570000
Boston,"BPS South Boston HS - Excel",114406.290000
Boston,"Henderson Elementary",114387.550000
Boston,"BPS O'Bryant School",114352.310000
Boston,"Boston Fire Department",114304.870000
Boston,"BPS McKinley Middle",114278.280000
Boston,"Boston Fire Department",114235.690000
Boston,"BPS Counseling & Intervtn Ct",113737.640000
Boston,"Boston Fire Department",113580.010000
Boston,"Boston Police Department",113570.960000
Boston,"Dpt of Innovation & Technology",113451.890000
Boston,"Boston Police Department",113451.860000
Boston,"Property Management",113451.850000
Boston,"Dpt of Innovation & Technology",113451.840000
Boston,"Boston Police Department",113451.830000
Boston,"Dpt of Innovation & Technology",113451.830000
Boston,"Public Facilities Department",113451.830000
Boston,"Traffic Division",113451.830000
Boston,"Dpt of Innovation & Technology",113451.810000
Boston,"Boston Police Department",113328.010000
Boston,"Boston Police Department",113299.530000
Boston,"Boston Police Department",113243.780000
Boston,"Jackson/Mann K-8",113185.670000
Boston,"Boston Police Department",113179.980000
Boston,"Boston Police Department",113179.690000
Boston,"Boston Fire Department",113161.200000
Boston,"Boston Fire Department",112939.830000
Boston,"Green Academy",112885.830000
Boston,"BPS Fenway High",112818.180000
Boston,"BPS Boston Latin",112809.010000
Boston,"BPS Boston Comm Leadership Ac",112702.490000
Boston,"Chief Financial Officer",112504.580000
Boston,"BPS East Boston High",112410.450000
Boston,Accountability,112297.870000
Boston,"BPS Higginson Elementary",112292.190000
Boston,"Early Learning Services",112239.550000
Boston,"BPS Ohrenberger Elementary",112136.290000
Boston,"Asst Superintendent-Network A",112133.480000
Boston,"Boston Police Department",112120.970000
Boston,"Unified Student Svc",111999.890000
Boston,"Boston Police Department",111991.750000
Boston,"Boston Police Department",111879.690000
Boston,"Boston Fire Department",111836.760000
Boston,"Boston Police Department",111729.400000
Boston,"Boston Fire Department",111706.790000
Boston,"Curley K-8",111694.570000
Boston,"BPS McKinley Middle",111684.180000
Boston,"Achievement Gap",111664.090000
Boston,"Boston Fire Department",111572.310000
Boston,"Boston Police Department",111541.850000
Boston,"BPS Boston International HS",111540.470000
Boston,Accountability,111502.010000
Boston,"Henderson Elementary",111500.070000
Boston,"BPS Harvard/Kent Elementary",111494.870000
Boston,"Boston Fire Department",111487.150000
Boston,"Boston Retirement System",111374.580000
Boston,"Young Achievers K-8",111327.810000
Boston,"BPS Dearborn Middle",111318.640000
Boston,"Info & Instr Technology",111318.030000
Boston,"BPS Health and Wellness",111245.990000
Boston,"Teaching & Learning",111239.160000
Boston,"BPS East Boston High",111144.420000
Boston,"BPS Holmes Elementary",111118.870000
Boston,"Boston Police Department",111114.520000
Boston,"BPS McKinley Middle",111101.100000
Boston,"Boston Fire Department",111071.960000
Boston,"BPS McKinley Middle",111030.360000
Boston,"Curley K-8",111022.290000
Boston,"Boston Police Department",111012.300000
Boston,"BPS Perkins Elementary",110999.490000
Boston,"BPS East Boston High",110991.340000
Boston,"BPS Guild Elementary",110951.810000
Boston,"BPS South Boston HS - Excel",110910.670000
Boston,"BPS Edwards Middle",110870.500000
Boston,"BPS McKinley Middle",110835.880000
Boston,"BPS Dearborn Middle",110818.640000
Boston,"Teaching & Learning",110760.430000
Boston,"BPS Dearborn Middle",110719.500000
Boston,"Boston Police Department",110717.780000
Boston,"Boston Fire Department",110679.820000
Boston,"BPS Human Resource Team",110620.920000
Boston,"Boston Fire Department",110538.250000
Boston,"Boston Fire Department",110462.180000
Boston,"Frederick Pilot Middle",110373.800000
Boston,"BPS Special Education",110372.330000
Boston,"Boston Police Department",110334.250000
Boston,"Boston Police Department",110327.460000
Boston,"BPS Timilty Middle",110314.590000
Boston,"BPS Boston Arts Academy",110300.430000
Boston,"Boston Fire Department",110273.290000
Boston,"Boston Police Department",110273.140000
Boston,"Boston Police Department",110177.770000
Boston,"BPS Boston Latin",110162.130000
Boston,"BPS Snowden International Hi",110162.130000
Boston,"BPS McKinley Middle",110145.680000
Boston,"West Roxbury Academy",110125.570000
Boston,"Info & Instr Technology",110067.950000
Boston,"Boston Police Department",110031.400000
Boston,"King K-8",109989.010000
Boston,"Boston Fire Department",109988.410000
Boston,"Eliot K-8",109969.870000
Boston,"Fam & Student Engagemt",109850.560000
Boston,"Boston Police Department",109781.750000
Boston,"BPS Otis Elementary",109744.520000
Boston,"BPS Special Education",109742.350000
Boston,"BPS Ohrenberger Elementary",109730.790000
Boston,"Boston Fire Department",109628.500000
Boston,"Boston Police Department",109600.060000
Boston,"BPS School Safety Service",109596.780000
Boston,Accountability,109540.070000
Boston,"BPS Edwards Middle",109510.000000
Boston,"BPS McKinley Middle",109472.680000
Boston,"BPS McKinley Middle",109472.670000
Boston,"BPS McKinley Middle",109463.500000
Boston,"Boston Police Department",109434.680000
Boston,"BPS East Boston High",109413.820000
Boston,"Chief Operating Officer",109412.360000
Boston,"UP "Unlocking Potential"" Acad"",109401.670000
Boston,"UP Academy Dorchester",109401.670000
Boston,"Boston Fire Department",109379.190000
Boston,"Boston Police Department",109335.750000
Boston,"BPS Lee Elementary",109329.560000
Boston,"BPS Latin Academy",109301.910000
Boston,"BPS Boston Latin",109293.420000
Boston,"Boston Police Department",109292.170000
Boston,"Boston Fire Department",109250.530000
Boston,"Boston Fire Department",109240.900000
Boston,"Boston Fire Department",109238.700000
Boston,"Boston Fire Department",109219.770000
Boston,"Henderson Elementary",109210.450000
Boston,"Jackson/Mann K-8",109191.740000
Boston,"Ellison/Parks EES",109182.360000
Boston,"BPS Beethoven Elementary",109116.390000
Boston,"Boston Fire Department",109078.520000
Boston,"Boston Fire Department",109077.190000
Boston,"BPS McCormack Middle",109075.920000
Boston,"Boston Fire Department",109059.500000
Boston,"Boston Fire Department",109023.190000
Boston,"BPS Special Education",109005.390000
Boston,"Boston Fire Department",108990.220000
Boston,"BPS Human Resource Team",108983.580000
Boston,"Chief Financial Officer",108983.580000
Boston,"Info & Instr Technology",108983.580000
Boston,"BPS O'Bryant School",108982.850000
Boston,"Lyon K-8",108961.010000
Boston,"Curley K-8",108907.620000
Boston,"Boston Fire Department",108893.620000
Boston,"Boston Fire Department",108879.290000
Boston,"BPS Sumner Elementary",108871.490000
Boston,"BTU Pilot",108778.000000
Boston,"Boston Fire Department",108776.270000
Boston,"BPS McCormack Middle",108768.670000
Boston,"Boston Fire Department",108768.660000
Boston,"BPS Harvard/Kent Elementary",108767.590000
Boston,"BPS Mozart Elementary",108764.680000
Boston,"Boston Fire Department",108747.000000
Boston,"BPS McKinley Middle",108735.630000
Boston,"Jackson/Mann K-8",108710.990000
Boston,"BPS Madison Park High",108655.320000
Boston,"BPS Irving Middle",108637.770000
Boston,"Boston Fire Department",108607.170000
Boston,"BPS Timilty Middle",108604.840000
Boston,"BPS Latin Academy",108529.140000
Boston,"BPS O'Bryant School",108529.140000
Boston,"Boston Fire Department",108520.020000
Boston,"Boston Fire Department",108500.950000
Boston,"Green Academy",108468.160000
Boston,"Boston Police Department",108444.010000
Boston,"Public Works Department",108433.820000
Boston,"Boston Police Department",108375.300000
Boston,"Kennedy, EM Health Academy",108362.320000
Boston,"Higginson/Lewis K-8",108337.470000
Boston,"West Roxbury Academy",108331.670000
Boston,"Boston Fire Department",108324.030000
Boston,"Boston Fire Department",108319.040000
Boston,"Chief Financial Officer",108283.050000
Boston,"Haley Pilot",108281.240000
Boston,"BPS Edwards Middle",108265.030000
Boston,"Boston Fire Department",108259.680000
Boston,"BPS Murphy Elementary",108257.420000
Boston,"BPS Tynan Elementary",108257.420000
Boston,"Boston Fire Department",108253.600000
Boston,"BPS Boston Latin",108234.390000
Boston,"BPS Channing Elementary",108233.440000
Boston,"BPS Grew Elementary",108219.560000
Boston,"BPS McKinley Middle",108195.260000
Boston,"BPS Edwards Middle",108186.190000
Boston,"BPS Mather Elementary",108151.290000
Boston,"Boston Fire Department",108112.240000
Boston,"Umana Middle",108064.190000
Boston,"Frederick Pilot Middle",108053.880000
Boston,"Chief Operating Officer",108044.160000
Boston,"Boston Police Department",108008.650000
Boston,"Boston Fire Department",108006.870000
Boston,"Boston Fire Department",107993.150000
Boston,"Boston Fire Department",107908.970000
Boston,"Boston Fire Department",107878.740000
Boston,"BPS Otis Elementary",107862.700000
Boston,"Boston Fire Department",107856.780000
Boston,"BPS Latin Academy",107818.390000
Boston,"BPS Chittick Elementary",107811.690000
Boston,"BPS Edwards Middle",107777.790000
Boston,"Boston Fire Department",107776.020000
Boston,"BPS Mather Elementary",107749.490000
Boston,"BPS Otis Elementary",107749.490000
Boston,"Boston Fire Department",107725.530000
Boston,"Boston Fire Department",107673.040000
Boston,"Boston Police Department",107599.310000
Boston,"BPS Special Education",107598.290000
Boston,"Boston Fire Department",107594.920000
Boston,"BPS Facility Management",107576.040000
Boston,"BPS Brighton High",107572.680000
Boston,"BPS Condon Elementary",107556.990000
Boston,"BPS McCormack Middle",107556.990000
Boston,"BPS Otis Elementary",107556.990000
Boston,"Boston Police Department",107497.850000
Boston,"BPS Winthrop Elementary",107473.760000
Boston,"BPS Snowden International Hi",107463.010000
Boston,"Info & Instr Technology",107434.080000
Boston,"BPS Brighton High",107387.330000
Boston,"Newcomers Academy",107333.590000
Boston,"BPS East Boston High",107321.970000
Boston,"Umana Middle",107317.480000
Boston,"BPS McKinley Middle",107307.780000
Boston,"BPS Human Resource Team",107269.260000
Boston,"BPS Human Resource Team",107257.390000
Boston,"BPS Channing Elementary",107243.640000
Boston,"BPS English High",107243.640000
Boston,"BPS Dearborn Middle",107241.640000
Boston,"Dpt of Innovation & Technology",107231.120000
Boston,"Curley K-8",107207.520000
Boston,"BPS Harvard/Kent Elementary",107172.490000
Boston,"BPS Mather Elementary",107172.490000
Boston,"BPS McCormack Middle",107172.490000
Boston,"Warren/Prescott K-8",107172.490000
Boston,"BPS Alternative Education HS",107142.500000
Boston,"Greater Egleston High",107142.500000
Boston,"English Language Learn",107122.620000
Boston,"BPS Human Resource Team",107108.640000
Boston,"Mildred Avenue K-8",107104.820000
Boston,"BPS Blackstone Elementary",107099.710000
Boston,"Mildred Avenue K-8",107059.440000
Boston,"BPS Facility Management",107051.250000
Boston,"Boston Police Department",107032.510000
Boston,"BPS McCormack Middle",107022.490000
Boston,"Boston Police Department",107012.720000
Boston,"Higginson/Lewis K-8",106989.860000
Boston,"Mattapan Early Elementary",106979.840000
Boston,"BPS Lee Elementary",106932.210000
Boston,"Boston Fire Department",106901.610000
Boston,"BPS Orchard Gardens K-8 Pilot",106900.160000
Boston,"Boston Fire Department",106892.550000
Boston,"BPS Murphy Elementary",106825.720000
Boston,"Boston Fire Department",106808.070000
Boston,"Boston Fire Department",106720.930000
Boston,"BPS Guild Elementary",106714.850000
Boston,"BPS Otis Elementary",106714.790000
Boston,"Boston Fire Department",106708.460000
Boston,"BPS McKinley Middle",106653.960000
Boston,"Boston Fire Department",106643.330000
Boston,"Boston Fire Department",106626.770000
Boston,"Boston Fire Department",106620.830000
Boston,"Boston Fire Department",106610.510000
Boston,"BPS Edwards Middle",106584.390000
Boston,"Boston Police Department",106555.530000
Boston,"Boston Fire Department",106520.630000
Boston,"BPS Harvard/Kent Elementary",106520.420000
Boston,"BPS Alternative Education HS",106504.610000
Boston,"BPS Guild Elementary",106499.490000
Boston,"BPS Irving Middle",106499.490000
Boston,"BPS Mather Elementary",106499.490000
Boston,"BPS McCormack Middle",106499.490000
Boston,"BPS Murphy Elementary",106499.480000
Boston,"BPS Edwards Middle",106499.240000
Boston,"BPS Madison Park High",106497.840000
Boston,"BPS Madison Park High",106490.220000
Boston,"Jackson/Mann K-8",106486.980000
Boston,"Henderson Elementary",106483.860000
Boston,"Boston Fire Department",106448.190000
Boston,"Curley K-8",106438.900000
Boston,"BPS McKinley Middle",106422.260000
Boston,"BPS Harvard/Kent Elementary",106400.740000
Boston,"BPS McKinley Middle",106346.280000
Boston,"BPS Blackstone Elementary",106313.510000
Boston,"Boston Fire Department",106295.270000
Boston,"BPS Human Resource Team",106266.750000
Boston,"Boston Fire Department",106241.270000
Boston,"Boston Fire Department",106200.150000
Boston,"BPS Counseling Service",106188.970000
Boston,"BPS Russell Elementary",106185.120000
Boston,"BPS Sumner Elementary",106185.120000
Boston,"BPS Special Education",106182.940000
Boston,"Boston Fire Department",106181.560000
Boston,"Lyon Pilot High 9-12",106165.790000
Boston,"BPS Lee Elementary",106163.260000
Boston,"BPS Counseling Service",106162.270000
Boston,"BPS McKinley Middle",106153.780000
Boston,"Mattapan Early Elementary",106147.420000
Boston,"Auditing Department",106105.200000
Boston,"BPS Latin Academy",106085.000000
Boston,"BPS Facility Management",106076.100000
Boston,"Boston Fire Department",106074.020000
Boston,"Higginson/Lewis K-8",106073.490000
Boston,"Boston Fire Department",106073.220000
Boston,"Boston Police Department",106065.630000
Boston,"BPS Boston International HS",106064.560000
Boston,"Boston Fire Department",106029.710000
Boston,"Jackson/Mann K-8",106017.110000
Boston,"BPS Mather Elementary",105967.770000
Boston,"BPS Horace Mann",105965.480000
Boston,"Boston Fire Department",105958.150000
Boston,"BPS Irving Middle",105954.910000
Boston,"BPS Lee Elementary",105954.910000
Boston,"Boston Fire Department",105936.070000
Boston,"Boston Police Department",105913.950000
Boston,"Boston Fire Department",105900.510000
Boston,"Greenwood, S K-8",105848.950000
Boston,"Boston Fire Department",105846.590000
Boston,"Boston Fire Department",105841.480000
Boston,"Boston Fire Department",105825.180000
Boston,"Boston Fire Department",105818.510000
Boston,"English Language Learn",105809.360000
Boston,"BPS Conley Elementary",105796.760000
Boston,"BPS Harvard/Kent Elementary",105790.710000
Boston,"BPS Ellis Elementary",105767.470000
Boston,"BPS McKinley Middle",105766.360000
Boston,"Boston Fire Department",105764.530000
Boston,"Boston Fire Department",105761.080000
Boston,"BPS Condon Elementary",105760.970000
Boston,"Boston Fire Department",105746.990000
Boston,"BPS Mather Elementary",105733.630000
Boston,"Diplomas Plus",105705.030000
Boston,"BPS Condon Elementary",105704.370000
Boston,"BPS Special Education",105674.140000
Boston,"Boston Fire Department",105671.760000
Boston,"BPS Edwards Middle",105645.080000
Boston,"BPS Counseling Service",105611.650000
Boston,"BPS Trotter Elementary",105608.640000
Boston,"Boston Fire Department",105554.120000
Boston,"Boston Fire Department",105542.450000
Boston,"Boston Fire Department",105527.800000
Boston,"BPS English High",105524.240000
Boston,"Boston Fire Department",105460.920000
Boston,"BPS Sumner Elementary",105422.070000
