LibraryId,Neighborhood,Address,Zip
1,West End,151 Cambridge St,2114
2,Dorchester / Codman Square,690 Washington St,2124
3,Hyde Park,35 Harvard Av,2136
4,Jamaica Plain,433 Centre St,2130
5,Roxbury,65 Warren St,2119
6,Back Bay,700 Boylston St,2116
7,North End,25 Parmenter St,2113
8,South End,685 Tremont St,2118
9,Brighton,300 North Harvard St,2134
10,Brighton,40 Academy Hill Rd,2135
11,Financial District,419 Faneuil St,2135
12,Charlestown,179 Main St,2129
13,Dorchester,690 Adams St,2122
14,Dorchester / Fields Corner,1520 Dorchester Av,2122
15,Mattapan,27 Richmond St,2124
16,Dorchester,500 Columbia Rd,2125
17,East Boston,365 Bremen St,2128
18,Jamaica Plain,12 Sedgwick St,2130
19,Mattapan,1350 Blue Hill Avenue,2126
20,Roslindale,4246 Washington St,2131
21,Jamaica Plain,2044 Columbus Av,2119
22,Roxbury,41 Geneva Ave,2121
23,Roxbury,1497 Tremont St,2120
24,West Roxbury,1961 Centre St,2132
25,South Boston,646 East Broadway,2127
27,Chinatown,2 Boylston St,2116