UniversityID,UniversityName,Neighborhood,Cost,NumStudents
460,Harvard University of Public Health, ,0,502
20,Boston University Trustees,Allston,18007000,0
29,Harvard University Sailing,Allston,831000,0
30,Harvard Business School,Allston,26812300,913
54,Everest Institute-Brighton,Allston,3189600,369
55,Saint John's Seminary,Allston,1265300,192
20,Boston University Trustees,Brighton,18007000,0
29,Harvard University Sailing,Brighton,831000,0
30,Harvard Business School,Brighton,26812300,913
54,Everest Institute-Brighton,Brighton,3189600,369
55,Saint John's Seminary,Brighton,1265300,192
35,Bay State College,Back Bay,832000,1204
36,Butera School Of Art,Back Bay,594700,0
38,Fisher College,Back Bay,280651,1930
39,Sanford-Brown College-Boston,Back Bay,5200400,71
42,Boston Architectural College,Back Bay,11385900,1037
45,New England College of Optometry,Back Bay,5568600,502
37,Emerson College,Beacon Hill,4545500,4561
40,New England School of Law,Beacon Hill,8714400,964
2,Suffolk University,Boston,21673500,8675
60,Blaine The Beauty Career School-Boston,Boston,0,0
61,Rets Technical Center,Boston,0,0
4,Bunker Hill Community College,Charlestown,17181400,14023
5,MGH Institute of Health Professions,Charlestown,9386500,1096
41,Kaplan Career Institute (Closed),Charlestown,16958900,0
24,Boston College,Chestnut Hill,0,14309
27,Tufts University School of Medicine,Chinatown,31126800,797
6,Emmanuel College,Fenway - Kenmore,99370400,2436
7,School of the Museum of Fine Arts-Boston,Fenway - Kenmore,8437121,651
8,Simmons,Fenway - Kenmore,55553100,4900
9,Boston University,Fenway - Kenmore,66943300,32411
10,The Boston Conservatory,Fenway - Kenmore,4900600,774
11,Wheelock College,Fenway - Kenmore,11614900,1378
14,Boston University Research,Fenway - Kenmore,1484500,0
15,Boston University School of Law,Fenway - Kenmore,5529700,0
16,Boston University Sargent College,Fenway - Kenmore,19403300,0
17,Boston University School of Management,Fenway - Kenmore,998700,0
18,Boston University Admissions,Fenway - Kenmore,2624800,0
19,Boston University Rental Office,Fenway - Kenmore,82800,0
25,Simmons College,Fenway - Kenmore,21821300,4655
26,Harvard Medical School,Fenway - Kenmore,522739567,1732
28,MASCO Colleges of the Fenway,Fenway - Kenmore,37257100,0
43,Massachusetts College of Art and Design,Fenway - Kenmore,65800100,2264
44,MCPHS University,Fenway - Kenmore,87531900,6548
46,Northeastern University,Fenway - Kenmore,426358800,8479
47,The New England Conservatory of Music,Fenway - Kenmore,299000,813
48,Wentworth Institute of Technology,Fenway - Kenmore,12929600,4179
49,Berklee College of Music,Fenway - Kenmore,4647300,4519
50,Kaplan Career Institute (Closed),Fenway - Kenmore,3854600,0
51,New England School of Photography,Fenway - Kenmore,452500,66
52,Art Institute of Boston at Lesley University,Fenway - Kenmore,7212500,0
31,New England College of Business and Finance,Financial District / Wharves,12889200,1145
33,Empire Beauty School-Boston,Financial District / Wharves,1618800,241
34,Urban College of Boston,Financial District / Wharves,4285100,762
59,Boston Baptist College,Hyde Park,3326900,96
57,Pine Manor College,Jamaica Plain,0,346
13,University of Massachusetts-Boston,Dorchester,195575300,16277
32,North Bennet Street School,North End,5845800,161
12,Roxbury Community College,Roxbury,30893400,2437
53,Laboure College,Dorchester,51941000,698
3,Benjamin Franklin Institute of Technology,South End,15975800,482
22,Boston University School of Medicine,South End,72049800,0
23,Boston University Public Health,South End,13981647,0
1,Massachusetts General Hospital Dietetic Internship,West End Boston,106836600,20
58,Massachusetts School of Professional Psychology,West Roxbury,5477000,652