AgeId,DemographicsId,AgeRange,AgePercentage
1,1,0-9 years,644
2,1,10-19 years,3152
3,1,20-34 years,12741
4,1,35-54 years,1912
5,1,55-64 years,691
6,1,65 years and over,621
7,2,0-9 years,756
8,2,10-19 years,1372
9,2,20-34 years,7681
10,2,35-54 years,3229
11,2,55-64 years,1973
12,2,65 years and over,2566
13,3,0-9 years,686
14,3,10-19 years,247
15,3,20-34 years,4909
16,3,35-54 years,1751
17,3,55-64 years,646
18,3,65 years and over,1066
19,4,0-9 years,2852
20,4,10-19 years,3016
21,4,20-34 years,25485
22,4,35-54 years,7238
23,4,55-64 years,3577
24,4,65 years and over,5600
25,5,0-9 years,2559
26,5,10-19 years,1256
27,5,20-34 years,5754
28,5,35-54 years,4774
29,5,55-64 years,2006
30,5,65 years and over,1709
31,6,0-9 years,15841
32,6,10-19 years,16428
33,6,20-34 years,33342
34,6,35-54 years,33529
35,6,55-64 years,13470
36,6,65 years and over,11879
37,7,0-9 years,888
38,7,10-19 years,2440
39,7,20-34 years,5647
40,7,35-54 years,3303
41,7,55-64 years,2067
42,7,65 years and over,2558
43,8,0-9 years,5778
44,8,10-19 years,4237
45,8,20-34 years,13361
46,8,35-54 years,13917
47,8,55-64 years,3745
48,8,65 years and over,3951
49,9,0-9 years,452
50,9,10-19 years,8582
51,9,20-34 years,17575
52,9,35-54 years,2883
53,9,55-64 years,1271
54,9,65 years and over,1447
55,10,0-9 years,0
56,10,10-19 years,5
57,10,20-34 years,127
58,10,35-54 years,94
59,10,55-64 years,70
60,10,65 years and over,33
61,11,0-9 years,4209
62,11,10-19 years,3211
63,11,20-34 years,5420
64,11,35-54 years,9884
65,11,55-64 years,4359
66,11,65 years and over,5712
67,12,0-9 years,364
68,12,10-19 years,297
69,12,20-34 years,2415
70,12,35-54 years,1622
71,12,55-64 years,522
72,12,65 years and over,725
73,13,0-9 years,2752
74,13,10-19 years,1841
75,13,20-34 years,11211
76,13,35-54 years,8885
77,13,55-64 years,3172
78,13,65 years and over,3740
79,14,0-9 years,2680
80,14,10-19 years,2671
81,14,20-34 years,15716
82,14,35-54 years,8216
83,14,55-64 years,3217
84,14,65 years and over,3160
85,15,0-9 years,94
86,15,10-19 years,67
87,15,20-34 years,1380
88,15,35-54 years,800
89,15,55-64 years,286
90,15,65 years and over,235
91,16,0-9 years,6844
92,16,10-19 years,7959
93,16,20-34 years,14228
94,16,35-54 years,12277
95,16,55-64 years,4879
96,16,65 years and over,5065
97,17,0-9 years,3601
98,17,10-19 years,2742
99,17,20-34 years,6099
100,17,35-54 years,9069
101,17,55-64 years,3697
102,17,65 years and over,3436
103,18,0-9 years,285
104,18,10-19 years,128
105,18,20-34 years,5365
106,18,35-54 years,1734
107,18,55-64 years,481
108,18,65 years and over,1114
109,19,0-9 years,1129
110,19,10-19 years,2026
111,19,20-34 years,7984
112,19,35-54 years,2610
113,19,55-64 years,1170
114,19,65 years and over,1781
115,20,0-9 years,2625
116,20,10-19 years,3118
117,20,20-34 years,5358
118,20,35-54 years,6887
119,20,55-64 years,3157
120,20,65 years and over,3123
121,21,0-9 years,12
122,21,10-19 years,2358
123,21,20-34 years,2663
124,21,35-54 years,120
125,21,55-64 years,40
126,21,65 years and over,40
127,22,0-9 years,4126
128,22,10-19 years,3273
129,22,20-34 years,13620
130,22,35-54 years,10085
131,22,55-64 years,4183
132,22,65 years and over,3953
133,23,0-9 years,4006
134,23,10-19 years,4805
135,23,20-34 years,7464
136,23,35-54 years,10142
137,23,55-64 years,4525
138,23,65 years and over,4643